제목,주소,키워드,종목코드,날짜
아이폰XS·XS 맥스 통신 3사 공식 개통 시작…사은품·할인혜택 등 다양,http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201284.html,"고객 중
추첨 통해
기존
기존 선착순
선착순 방식
행사 추첨
추첨 경품
경품 맥북
맥북 프로 ,
애플 워치 4 , 아이패드 ,",032640,2018-11-02
'가구의 원목과 편의를 가전에 더했다'...가전 명가 LG의 새로운 실험,http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110101751.html,"간 거래 )
LG 오브 제의
브랜드 준비
디자인 작업
작업
산업 디자이너
디자이너 스테파노
날 행사
행사 무엇
무엇 가구",066570,2018-11-01
"고가는 애플에 밀리고, 중저가는 중국에 치이고...삼성·LG 스마트폰 '넛크래커'",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102036.html,"전자 업계 관계자
삼성 전자 화웨이
화웨이 등
차별 위해
위해 브랜드
브랜드 파워
파워
가치 ,
시장 선전
선전 중국",066570,2018-11-01
"노창호 LG전자 디자인센터장, '은탑산업훈장' 수상",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102390.html,"노 전무
그 해외
해외 정상
협업 통해
역량 높이
높이 산학 협력
산학 협력 프로젝트
프로젝트 통해
통해 학계
2015 년",066570,2018-10-31
[마켓뷰] 中증시 약세에 코스피도 뒷심부족…기관 이틀째 '팔자',http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102679.html,"경기 회복
회복 대한
연구원 당분간
코스피지수 2000 선
2000 선 전후
11 월 초 중순
초 중순 한국
증시 안전판
안전판 확보
이경민 대신 증권",051910,2018-11-01
"코스피지수 상승 출발…\페이스북 호실적·북미 고위회담이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100894.html,"서상영 증권
상승 마감 덕분
덕분 한국
증시 투자
투자 심리
심리 개선
개선 다음
주 미국
미국 북한
회담 개최",051910,2018-11-01
대외 악재에 코스피지수 1985선까지 하락…엿새째 연중 최저점 경신,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000728.html,"이경민 대신 증권
대신 증권 연구원
기업 3 분기
3 분기 실적
실적 저조
저조 성적
성적 보이
하락 며 미국
미국 상무부
상무부 중국",051910,2018-10-30
"LIG넥스원, 한화에 미사일 방어체 개량 선급금 416억 지급",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102125.html,"한화 외
외 2 개
지난 9 월
방위사업청 4400 억원
4400 억원 규모
규모 방위
사업 계약
계약 체결
체결 바
바 ,",079550,2018-10-31
"LS네트웍스, 169억원 규모 목재펠릿 공급계약 체결",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202517.html,"LS 네트웍 스 ( 000680 ) 169 억원
169 억원 규모
발 전용 ) 공급 계약
공급 계약 체결
체결 2 일
계약 상대",000680,2018-11-02
"LS네트웍스, 대표이사 3인→2인 변경…윤선노 대표 사임",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102262.html,"문성준 각자
각자 대표
LS 네트웍 스 ( 000680 ) 구자용 ,
구자용 , 윤선 노 ,
윤선 노 , 문성준
3 인 구자용 ,
구자용 , 문성준
변경 31 일
사유 윤선 보
윤선 보 대표이사",000680,2018-10-31
[금융포커스] 시중은행들이 네이버에 '오매불망'인 까닭은,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102411.html,"네이버 지난
지난 25 일
3 분기 실적
네이버 라인 ( 글로벌
라인 ( 글로벌 모바일
모바일 메신저
메신저 사업
네이버 자회사 )
자회사 ) 모두
모두",035420,2018-11-01
"네이버, 블로그 만들기 쉽게 업데이트…제작과정 2단계로",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103101862.html,"주종 혁 리더
리더
통해 블로그
콘텐츠
며 이용자
이용자 목소리
목소리 귀
사용성 개선
통해 누구
쾌적",035420,2018-10-31
