종목코드,종목명,제목,날짜,주소
001040,CJ,"CJ프레시웨이, 3분기 매출 7043억원…전년比 6.4% 증가",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902177.html
114090,GKL,"GKL, 3분기 영업이익 308억원…전년比 24% 줄어",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110901757.html
051910,LG화학,"LG화학, 신임 CEO 신학철 3M 수석부회장…""글로벌 사업 통찰력""(종합)",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900620.html
051910,LG화학,박진수 LG화학 부회장 퇴임…신임 부회장에 신학철씨 내정,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900537.html
035420,NAVER,"네이버, 로봇팔 등 4개 제품 CES 이노베이션 어워드 수상",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902174.html
011790,SKC,[특징주] 삼성전자 폴더블폰 공개에 관련주 상승세,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900969.html
178920,SKC코오롱PI,[특징주] 삼성전자 폴더블폰 공개에 관련주 상승세,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900969.html
000660,SK하이닉스,"베트남 총리 만난 최태원 SK 회장 ""공기업 민영화 참여 등 협력 강화""(종합)",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902755.html
000660,SK하이닉스,미 국채금리 확대 우려감으로 코스피지수 장 초반 보합권,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900866.html
000660,SK하이닉스,"베트남 총리 만난 SK 최태원 회장 ""미래성장 협력 강화""",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900747.html
003920,남양유업,"남양유업 ""분유 제조 공정상 이물질 혼입 불가 입증""",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110901677.html
006280,녹십자,"GC녹십자, 미국 현지 혈액원 2곳 추가…총 10곳서 원료혈장 공급",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110901289.html
069460,대호에이엘,"한국거래소, 대호에이엘에 내년 3월 31일까지 개선기간 부여",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902551.html
001230,동국제강,"석포제련소, 48년만에 가동중단 위기…예상 피해액 1.4조원",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/08/2018110802752.html
005960,동부건설,"동부건설, 421억원 규모 과천 지식정보타운 신축공사 수주",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902471.html
016380,동부제철,"석포제련소, 48년만에 가동중단 위기…예상 피해액 1.4조원",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/08/2018110802752.html
071840,롯데하이마트,"""롯데하이마트, 내년에도 대형가전 수요 부진…목표가 하향” - 미래",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900776.html
008560,메리츠종금증권,[투자노트] 국민연금 새 CIO의 관심종목은? '배당성장주',2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900447.html
000060,메리츠화재,"메리츠화재, 3분기 당기순이익 729억원…전년比 21.9% 감소",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902198.html
006800,미래에셋대우,[투자노트] 국민연금 새 CIO의 관심종목은? '배당성장주',2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900447.html
001470,삼부토건,"삼부토건, 서울중앙지법에 주주총회 방해금지 가처분 신청",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110902587.html
006400,삼성SDI,실적 호조로 약세장 버텨낸 전기차株,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/08/2018110802314.html
207940,삼성바이오로직스,미 국채금리 확대 우려감으로 코스피지수 장 초반 보합권,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900866.html
032830,삼성생명,"""삼성생명, 보험 이익 부진에 목표주가 하향"" - 하이",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900730.html
005930,삼성전자,"삼성전자, CES 2019 혁신상 30개 휩쓸어",2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110901036.html
005930,삼성전자,[특징주] 삼성전자 폴더블폰 공개에 관련주 상승세,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900969.html
005930,삼성전자,미 국채금리 확대 우려감으로 코스피지수 장 초반 보합권,2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900866.html
005930,삼성전자,[투자노트] 국민연금 새 CIO의 관심종목은? '배당성장주',2018-11-09,http://biz.chosun.com/site/data/html_dir/2018/11/09/2018110900447.html
