종목명,종목코드
3S,060310
AJ네트웍스,095570
AJ렌터카,068400
AK홀딩스,006840
APS홀딩스,054620
AP시스템,265520
AP위성,211270
BGF,027410
BGF리테일,282330
BNK금융지주,138930
BYC,001460
BYC우,001465
CJ,001040
CJ CGV,079160
CJ ENM,035760
CJ대한통운,000120
CJ씨푸드,011150
CJ씨푸드1우,011155
CJ우,001045
CJ제일제당,097950
CJ제일제당 우,097955
CJ프레시웨이,051500
CJ헬로,037560
CMG제약,058820
CNH,023460
CS,065770
CSA 코스믹,083660
CS홀딩스,000590
DB,012030
DB금융투자,016610
DB라이텍,045890
DB손해보험,005830
DB하이텍,000990
DB하이텍1우,000995
DGB금융지주,139130
DMS,068790
DRB동일,004840
DSC인베스트먼트,241520
DSR,155660
DSR제강,069730
E1,017940
EDGC,245620
EG,037370
EMW,079190
F&F,007700
GH신소재,130500
GKL,114090
GMR 머티리얼즈,032860
GRT,900290
GS,078930
GST,083450
GS건설,006360
GS글로벌,001250
GS리테일,007070
GS우,078935
GS홈쇼핑,028150
HB테크놀러지,078150
HDC,012630
HDC아이콘트롤스,039570
HDC현대EP,089470
HDC현대산업개발,294870
HRS,036640
HSD엔진,082740
IBKS제10호스팩,299170
IBKS제5호스팩,254120
IBKS제6호스팩,264850
IBKS제7호스팩,276920
IBKS제9호스팩,297570
IHQ,003560
ISC,095340
ITX엠투엠,099520
JB금융지주,175330
JTC,950170
JW생명과학,234080
JW신약,067290
JW중외제약,001060
JW중외제약2우B,001067
JW중외제약우,001065
JW홀딩스,096760
JYP Ent.,035900
KB금융,105560
KB오토시스,024120
KCC,002380
KCC건설,021320
KCI,036670
KCTC,009070
KC그린홀딩스,009440
KC산업,112190
KC코트렐,119650
KD건설,044180
KEC,092220
KG ETS,151860
KG모빌리언스,046440
KG이니시스,035600
KG케미칼,001390
KH바텍,060720
KISCO홀딩스,001940
KJ프리텍,083470
KMH,122450
KMH하이텍,052900
KNN,058400
KPX생명과학,114450
KPX케미칼,025000
KPX홀딩스,092230
KR모터스,000040
KSS해운,044450
KT,030200
KT&G,033780
KTB투자증권,030210
KTH,036030
KTcs,058850
KT서브마린,060370
LF,093050
LG,003550
LG디스플레이,034220
LG상사,001120
LG생활건강,051900
LG생활건강우,051905
LG우,003555
LG유플러스,032640
LG이노텍,011070
LG전자,066570
LG전자우,066575
LG하우시스,108670
LG하우시스우,108675
LG화학,051910
LG화학우,051915
LIG넥스원,079550
LS,006260
LS네트웍스,000680
LS산전,010120
LS전선아시아,229640
MH에탄올,023150
MP그룹,065150
MP한강,219550
NAVER,035420
NEW,160550
NE능률,053290
NHN벅스,104200
NHN엔터테인먼트,181710
NHN한국사이버결제,060250
NH투자증권,005940
NH투자증권우,005945
NICE,034310
NICE평가정보,030190
NI스틸,008260
NPC,004250
NPC우,004255
OCI,010060
PN풍년,024940
POSCO,005490
RFHIC,218410
S&K폴리텍,091340
S&TC,100840
S&T모티브,064960
S&T중공업,003570
S&T홀딩스,036530
S-Oil,010950
S-Oil우,010955
SBI인베스트먼트,019550
SBI핀테크솔루션즈,950110
SBS,034120
SBS미디어홀딩스,101060
SBS콘텐츠허브,046140
SCI평가정보,036120
SDN,099220
SFA반도체,036540
SG,255220
SG&G,040610
SGA,049470
SGA솔루션즈,184230
SGA임베디드,224880
SG세계물산,004060
SG충방,001380
SH에너지화학,002360
SIMPAC,009160
SJM,123700
SJM홀딩스,025530
SK,034730
SK3호스팩,232330
SKC,011790
SKC 솔믹스,057500
SKC코오롱PI,178920
SK가스,018670
SK네트웍스,001740
SK네트웍스우,001745
SK디스커버리,006120
SK디스커버리우,006125
SK디앤디,210980
SK머티리얼즈,036490
SK바이오랜드,052260
SK우,03473K
SK이노베이션,096770
SK이노베이션우,096775
SK증권,001510
SK증권우,001515
SK케미칼,285130
SK케미칼우,28513K
SK텔레콤,017670
SK하이닉스,000660
SM C&C,048550
SM Life Design,063440
SPC삼립,005610
STC,123260
STX,011810
STX엔진,077970
STX중공업,071970
SV인베스트먼트,289080
TBH글로벌,084870
TCC동양,002710
THE E&M,089230
TJ미디어,032540
TPC,048770
TS트릴리온,284610
UCI,038340
WISCOM,024070
W홀딩컴퍼니,052300
YG PLUS,037270
YTN,040300
YW,051390
iMBC,052220
가비아,079940
가온미디어,078890
가온전선,000500
감마누,192410
갑을메탈,024840
강남제비스코,000860
강스템바이오텍,217730
강원랜드,035250
갤럭시아에스엠,011420
갤럭시아컴즈,094480
게임빌,063080
경남스틸,039240
경남제약,053950
경농,002100
경동나비엔,009450
경동도시가스,267290
경동인베스트,012320
경동제약,011040
경방,000050
경보제약,214390
경인양행,012610
경인전자,009140
경창산업,024910
계룡건설,013580
계양전기,012200
계양전기우,012205
고려개발,004200
고려산업,002140
고려시멘트,198440
고려신용정보,049720
고려아연,010130
고려제강,002240
고려제약,014570
고영,098460
골드퍼시픽,038530
골든브릿지제4호스팩,227950
골든브릿지증권,001290
골든센츄리,900280
골프존,215000
골프존뉴딘홀딩스,121440
골프존데카,183410
관악산업,076340
광동제약,009290
광림,014200
광명전기,017040
광전자,017900
광주신세계,037710
광진실업,026910
광진윈텍,090150
교보7호스팩,267320
교보비엔케이스팩,242040
교보증권,030610
구름게임즈앤컴퍼니,223220
구영테크,053270
국도화학,007690
국동,005320
국보,001140
국보디자인,066620
국순당,043650
국영지앤엠,006050
국일신동,060480
국일제지,078130
국제약품,002720
굿센,243870
그랜드백화점,019010
그린케미칼,083420
그린플러스,186230
극동유화,014530
극동자동화,272420
글로벌에스엠,900070
글로벌텍스프리,204620
글로본,019660
금강공업,014280
금강공업우,014285
금강철강,053260
금비,008870
금양,001570
금호산업,002990
금호산업우,002995
금호석유,011780
금호석유우,011785
금호에이치티,214330
금호전기,001210
금호타이어,073240
금화피에스시,036190
기가레인,049080
기산텔레콤,035460
기신정기,092440
기아차,000270
기업은행,024110
까뮤이앤씨,013700
깨끗한나라,004540
깨끗한나라우,004545
나노,187790
나노메딕스,074610
나노스,151910
나노신소재,121600
나노엔텍,039860
나노캠텍,091970
나눔테크,244880
나라엠앤디,051490
나무가,190510
나무기술,167380
나스미디어,089600
나우아이비캐피탈,293580
나이벡,138610
나이스디앤비,130580
나이스정보통신,036800
남광토건,001260
남선알미늄,008350
남선알미우,008355
남성,004270
남양유업,003920
남양유업우,003925
남영비비안,002070
남해화학,025860
남화토건,091590
내츄럴엔도텍,168330
네오디안테크놀로지,072770
네오오토,212560
네오위즈,095660
네오위즈홀딩스,042420
네오티스,085910
네오팜,092730
네이블,153460
네이처셀,007390
네추럴FNP,086220
네패스,033640
네패스신소재,087730
넥센,005720
넥센우,005725
넥센타이어,002350
넥센타이어1우B,002355
넥스턴,089140
넥스트BT,065170
넥스트리밍,139670
넥스트사이언스,003580
넥스트아이,137940
넥스트칩,092600
넥슨지티,041140
넵튠,217270
넷게임즈,225570
넷마블,251270
노루페인트,090350
노루페인트우,090355
노루홀딩스,000320
노루홀딩스우,000325
노브메타파마,229500
녹십자,006280
녹십자랩셀,144510
녹십자셀,031390
녹십자엠에스,142280
녹십자홀딩스,005250
녹십자홀딩스2우,005257
녹원씨엔아이,065560
농심,004370
농심홀딩스,072710
농우바이오,054050
누리텔레콤,040160
누리플랜,069140
뉴로스,126870
뉴보텍,060260
뉴인텍,012340
뉴트리바이오텍,222040
뉴파워프라즈마,144960
뉴프라이드,900100
뉴프렉스,085670
다나와,119860
다날,064260
다믈멀티미디어,093640
다산네트웍스,039560
다스코,058730
다우기술,023590
다우데이타,032190
다원시스,068240
다이노나,086080
다이오진,271850
대교,019680
대교우B,019685
대구백화점,006370
대덕GDS,004130
대덕GDS우,004135
대덕전자,008060
대동고려삼,178600
대동공업,000490
대동금속,020400
대동기어,008830
대동스틸,048470
대동전자,008110
대륙제관,004780
대림B&Co,005750
대림산업,000210
대림산업우,000215
대림씨엔에스,004440
대림제지,017650
대림통상,006570
대명코퍼레이션,007720
대봉엘에스,078140
대상,001680
대상우,001685
대상홀딩스,084690
대상홀딩스우,084695
대성미생물,036480
대성산업,128820
대성에너지,117580
대성엘텍,025440
대성창투,027830
대성파인텍,104040
대성홀딩스,016710
대신밸런스제3호스팩,253590
대신밸런스제4호스팩,262830
대신밸런스제5호스팩,303030
대신정보통신,020180
대신증권,003540
대신증권2우B,003547
대신증권우,003545
대아티아이,045390
대양금속,009190
대양전기공업,108380
대양제지,006580
대영포장,014160
대우건설,047040
대우부품,009320
대우조선해양,042660
대웅,003090
대웅제약,069620
대원,007680
대원강업,000430
대원미디어,048910
대원산업,005710
대원전선,006340
대원전선우,006345
대원제약,003220
대원화성,024890
대유,290380
대유에이텍,002880
대유위니아,071460
대유플러스,000300
대정화금,120240
대주산업,003310
대주이엔티,114920
대주전자재료,078600
대진디엠피,065690
대창,012800
대창단조,015230
대창솔루션,096350
대창스틸,140520
대한과학,131220
대한광통신,010170
대한뉴팜,054670
대한방직,001070
대한약품,023910
